session_id,date,athlete,test_type,side,trials,best_distance_cm,avg_distance_cm,std_distance_cm,quality_flag,memo
2026-03-08_test1,2026-03-08,togo,bounding_10,,2,1595,1558.5,36.5,ok,
2026-03-08_test1,2026-03-08,togo,hop_5,left,2,702,645.5,56.5,ok,
2026-03-08_test1,2026-03-08,togo,hop_5,right,2,695,653.0,42.0,ok,
2026-03-08_test1,2026-03-08,togo,standing_long_jump,,3,172,168.0,4.320493798938574,ok,
2026-04-16_test1,2026-04-16,togo,bounding_10,,2,1760,1758.0,2.0,ok,
2026-04-16_test1,2026-04-16,togo,hop_5,left,2,710,699.0,11.0,ok,
2026-04-16_test1,2026-04-16,togo,hop_5,right,2,773,759.0,14.0,ok,
2026-04-16_test1,2026-04-16,togo,standing_long_jump,,3,198,190.66666666666666,5.436502143433363,ok,
