session_id,date,athlete,test_type,trials,quality_flag,memo,best_split_5m_s,avg_split_5m_s,std_split_5m_s,best_split_10m_s,avg_split_10m_s,std_split_10m_s,best_split_20m_s,avg_split_20m_s,std_split_20m_s,best_split_30m_s,avg_split_30m_s,std_split_30m_s,best_fly_5m_s,avg_fly_5m_s,std_fly_5m_s,best_fly_10m_s,avg_fly_10m_s,std_fly_10m_s,best_total_time_s,avg_total_time_s,std_total_time_s
2026-03_test1,2026-03-08,togo,sprint_30m,2,ok,,,,,1.62,1.835,0.21499999999999986,3.45,3.635,0.18499999999999983,5.39,5.51,0.1200000000000001,0.91,0.92,0.010000000000000009,1.8,1.87,0.06999999999999995,5.39,5.51,0.1200000000000001
2026-04_test1,2026-04-16,togo,sprint_30m,3,ok,,1.58,1.6066666666666667,0.024944382578492866,2.55,2.7300000000000004,0.2070426687102605,4.27,4.336666666666666,0.080553639823964,5.95,6.053333333333334,0.11264496832477194,0.82,0.84,0.014142135623730963,0.85,0.87,0.021602468994692887,5.95,6.053333333333334,0.11264496832477194
